dataset_name,lower_bound,upper_bound
Pack001.rcp,9,23
Pack002.rcp,14,32
Pack003.rcp,10,29
Pack004.rcp,11,44
Pack005.rcp,11,42
Pack006.rcp,11,47
Pack007.rcp,18,41
Pack008.rcp,10,44
Pack009.rcp,12,72
Pack010.rcp,16,38
Pack011.rcp,10,44
Pack012.rcp,9,45
Pack013.rcp,11,36
Pack014.rcp,14,45
Pack015.rcp,12,43
Pack016.rcp,12,63
Pack017.rcp,12,62
Pack018.rcp,16,60
Pack019.rcp,15,59
Pack020.rcp,18,62
Pack021.rcp,33,51
Pack022.rcp,27,59
Pack023.rcp,14,51
Pack024.rcp,25,56
Pack025.rcp,16,70
Pack026.rcp,17,54
Pack027.rcp,13,55
Pack028.rcp,15,64
Pack029.rcp,18,43
Pack030.rcp,11,21
Pack031.rcp,41,70
Pack032.rcp,69,80
Pack032b.rcp,69,80
Pack033.rcp,69,78
Pack034.rcp,55,73
Pack035.rcp,42,77
Pack036.rcp,39,106
Pack037.rcp,47,138
Pack038.rcp,45,87
Pack039.rcp,45,110
Pack040.rcp,59,91
Pack041.rcp,10,28
Pack042.rcp,9,29
Pack043.rcp,28,105
Pack044.rcp,37,103
Pack045.rcp,58,87
Pack046.rcp,38,128
Pack047.rcp,55,107
Pack048.rcp,40,77
Pack049.rcp,11,29
Pack050.rcp,44,109
Pack051.rcp,9,29
Pack052.rcp,48,85
Pack053.rcp,44,113
Pack054.rcp,48,100
Pack055.rcp,46,97
