file_name,num_var,num_clause,feasible,make_span,solve_time
data_set/j30.sm/j301_1.sm,2236,132255,1,43,0.07464
data_set/j30.sm/j301_2.sm,,,0,,0.05087
data_set/j30.sm/j301_3.sm,,,0,,0.16262
data_set/j30.sm/j301_4.sm,,,0,,0.27972
data_set/j30.sm/j301_5.sm,,,0,,0.09454
data_set/j30.sm/j301_6.sm,,,0,,0.12527
data_set/j30.sm/j301_7.sm,,,0,,0.63936
data_set/j30.sm/j301_8.sm,,,0,,0.2193
data_set/j30.sm/j301_9.sm,,,0,,0.12772
data_set/j30.sm/j301_10.sm,,,0,,0.07665
data_set/j30.sm/j302_1.sm,2152,88389,1,38,0.05809
data_set/j30.sm/j302_2.sm,2595,213034,1,51,0.12201
data_set/j30.sm/j302_3.sm,1628,59771,1,43,0.04538
data_set/j30.sm/j302_4.sm,1482,37835,1,43,0.02481
data_set/j30.sm/j302_5.sm,2658,301921,1,51,0.19031
data_set/j30.sm/j302_6.sm,3404,237267,1,47,0.16777
data_set/j30.sm/j302_7.sm,2934,221394,1,47,0.13746
